artifact_type,relative_path,candidate_scope,period_start,period_end,fee_model,contains_equity_curve,contains_terminal_wealth,contains_trade_count,contains_episode_count,source_of_truth_reason,notes
parity_report,results/parity_20260305/PARITY_REPORT.md,"E0,E5,SM,LATCH,EMA21,EMA21-D1",2019-01-01,2026-02-20,50bps_RT,no,yes,yes,yes,Primary decision-making report for Study #41; all 6+1 strategy verdicts anchored here,Also covers EMA21(H4) which is not in our candidate set
eval_full_backtest_detail,results/parity_20260305/eval_e0_vs_e0/results/full_backtest_detail.json,E0,2019-01-01,2026-02-20,50bps_RT,no,yes,yes,no,Validation framework canonical E0 metrics (smart/base/harsh); terminal_wealth(harsh)=199173.14; trades=192,Baseline for all E0 reconciliation
eval_full_backtest_detail,results/parity_20260305/eval_e5_vs_e0/results/full_backtest_detail.json,E5,2019-01-01,2026-02-20,50bps_RT,no,yes,yes,no,Validation framework canonical E5 metrics; terminal_wealth(harsh)=246190.24; trades=207,
eval_full_backtest_detail,results/parity_20260305/eval_sm_vs_e0/results/full_backtest_detail.json,SM,2019-01-01,2026-02-20,50bps_RT,no,yes,yes,no,Validation framework canonical SM metrics; terminal_wealth(harsh)=28851.43; trades=65,
eval_full_backtest_detail,results/parity_20260305/eval_latch_vs_e0/results/full_backtest_detail.json,LATCH,2019-01-01,2026-02-20,50bps_RT,no,yes,yes,no,Validation framework canonical LATCH metrics; terminal_wealth(harsh)=23662.57; trades=65,
eval_full_backtest_detail,results/parity_20260305/eval_ema21d1_vs_e0/results/full_backtest_detail.json,E0_plus_EMA1D21,2019-01-01,2026-02-20,50bps_RT,no,yes,yes,no,Validation framework canonical E0_plus_EMA1D21 metrics; terminal_wealth(harsh)=225362.15; trades=172,
eval_full_backtest_detail,results/parity_20260306/eval_e5_ema21d1_vs_e0/results/full_backtest_detail.json,E5_plus_EMA1D21,2019-01-01,2026-02-20,50bps_RT,no,yes,yes,no,Validation framework canonical E5_plus_EMA1D21 metrics; terminal_wealth(harsh)=284726.02; trades=186,
research_parity_eval,research/results/parity_eval/parity_eval_results.json,"E0,E5,SM,LATCH,EMA21,EMA21-D1",2019-01-01,2026-02-20,50bps_RT,no,yes,yes,yes,Research-side parity eval with T1-T7 results; 211 trades for E0 (research sim uses different trade aggregation),Research sim trade counts differ from validation (211 vs 192 for E0); use validation as primary
trade_profile_8x5,results/trade_profile_8x5/summary_8x5.csv,"E0,E5,SM,LATCH,E0_plus_EMA1D21",2019-01-01,2026-02-20,50bps_RT,no,no,yes,no,8-technique trade profile for 5 of 6 candidates; contains all T1-T8 metrics,Missing E5_plus_EMA1D21; uses validation framework trades_candidate.csv as source
e5_plus_eval_report,results/parity_20260306/E5_PLUS_EMA1D21_EVALUATION_REPORT.md,E5_plus_EMA1D21,2019-01-01,2026-02-20,50bps_RT,no,yes,yes,no,Study #43 full evaluation report for E5_plus_EMA1D21,Verdict: PROMOTE
